affID	sortedName	awardYear	fieldID	fieldName	bf_avejif	bf_avecitation	bf_avehindex	bf_avepapercnt	af_avejif	af_avecitation	af_avehindex	af_avepapercnt
19820366	guoliang xu	2001	33923547	mathematics	0.20746031746031746	11.6	3.8	1.4	0.8229196865131211	46.0	7.6	6.2
19820366	cao daomin	2004	33923547	mathematics	0.35380890311907165	6.0	3.0	3.0	0.7624262125901519	51.2	7.6	3.4
76130692	lixin zhang	2012	33923547	mathematics	0.7489944087930225	48.0	7.2	9.6	0.7674087759672075	79.0	13.4	5.6
126520041	huang wen	2012	33923547	mathematics	1.111046232572475	59.6	8.0	4.2	2.311003167680157	171.6	17.6	6.6
36399199	jian yang	2011	41008148	computer science	0.8307889992496971	356.4	13.0	10.4	2.3294975254509724	859.2	27.8	31.4
99065089	jiangtao wen	2011	41008148	computer science	0.7267409500500918	63.8	10.4	5.2	1.1746787826961882	89.4	14.8	9.8
139759216	ji yuefeng	2003	41008148	computer science	0.0	0.6	0.2	3.6	0.17598941620289196	4.0	1.6	20.6
90610280	gang wei	2006	41008148	computer science	0.27103242306655023	3.8	2.2	11.8	0.6572846803851824	51.8	6.6	15.4
19820366	hu weiming	2008	41008148	computer science	1.4795883152787117	196.4	8.8	9.0	2.12791324785003	724.4	23.8	25.2
149594827	jiao licheng	2002	41008148	computer science	0.4399240286695672	2.8	1.2	11.0	0.7047702845799002	128.8	7.4	58.8
19820366	li xuelong	2011	41008148	computer science	1.3393909102217312	177.0	8.4	14.0	2.8271278033870915	1517.8	34.2	55.0
99065089	peilun rao	2011	41008148	computer science	0.0	0.2	0.6	0.2	0.0	0.0	1.0	0.0
139660479	chen xiaohong	2001	41008148	computer science	0.011853832442067736	0.4	1.0	1.2	0.08069864463074086	0.8	1.2	4.6
149594827	li zhiwu	2011	41008148	computer science	0.768977774702738	94.2	5.6	9.0	2.7324146523357564	437.2	21.6	10.4
19820366	haibin yu	2007	41008148	computer science	0.3398267700908642	11.4	3.2	8.2	0.9092967654889808	47.4	6.6	9.4
19820366	gang qin	2011	41008148	computer science	0.0	0.4	2.0	0.2	0.19643493761140815	2.8	2.4	1.0
76130692	he xiaofei	2011	41008148	computer science	1.2792291645065632	122.2	8.2	7.8	2.2860626254126384	725.0	26.2	13.6
19820366	huang qingming	2010	41008148	computer science	0.7506155863673362	128.8	7.4	25.6	2.046111071089828	491.4	24.0	26.8
183067930	fu yuxi	2002	41008148	computer science	0.08856536471256711	11.6	2.4	3.6	0.5369092709911714	32.0	6.6	5.2
19820366	hou zengguang	2012	41008148	computer science	1.2576641480221622	92.8	7.4	23.8	2.28348729486286	550.8	23.4	32.2
99065089	liu min	2010	41008148	computer science	0.6980905676969991	29.6	5.0	4.2	2.1320218450403843	120.4	12.6	11.6
19820366	chen xilin	2010	41008148	computer science	0.6099363657652511	124.8	6.8	20.4	2.772361153453489	796.0	25.0	22.4
19820366	lean yu	2010	41008148	computer science	0.7070820325688183	49.6	4.4	13.4	0.946633901951958	212.8	17.4	2.2
19820366	ninghui sun	2009	41008148	computer science	0.1488887394844364	11.4	3.0	8.8	0.6087814457564804	77.6	9.8	11.4
