fxID	minYear	maxYear
7631	2001	2017
7636	2006	2018
7639	2005	2018
7653	1985	2018
7661	2005	2017
7669	2002	2017
7678	2002	2017
7679	2002	2016
7682	1997	2017
7696	2003	2017
7711	2007	2018
7713	2004	2017
7743	1996	2018
7760	1998	2018
7765	1998	2018
7766	2004	2017
7771	1997	2017
7777	1997	2015
7778	1990	2018
7789	2006	2018
7794	2006	2018
7815	2003	2018
7826	2002	2017
7847	2006	2017
7857	1999	2018
7862	2007	2017
7871	2002	2017
7872	1998	2016
7875	2006	2018
7881	2006	2017
7887	2000	2018
7888	2000	2018
7893	2007	2017
7900	2005	2016
7913	2005	2018
7919	2007	2017
7922	1993	2018
7932	2002	2018
7943	2006	2017
7947	2007	2018
7958	2005	2016
7960	1998	2017
7961	2006	2018
7967	1997	2009
8009	1990	2013
8017	2006	2017
8018	1997	2014
8025	2004	2018
8033	2001	2018
8035	1999	2017
8040	2000	2016
8041	2003	2018
8043	2005	2018
8046	2007	2017
8063	2004	2018
8067	1991	2008
8079	2007	2017
8084	2000	2018
8085	2005	2016
8087	2005	2017
8088	2006	2017
8091	1996	2017
8100	1992	2006
8101	2007	2018
8102	1989	2013
8109	2007	2017
8115	2002	2018
8124	1993	2014
8125	2006	2017
8127	2002	2017
8130	2003	2016
8140	2000	2010
8141	1991	2018
8146	2005	2016
8150	1999	2018
8158	1996	2018
8166	1991	2012
8172	2007	2017
8178	2003	2018
8179	1995	2007
8189	2004	2016
8207	1987	1999
8220	2001	2018
8236	2003	2018
8250	1998	2017
8253	2004	2017
8254	2006	2016
8261	1985	2017
8275	2000	2017
8276	2004	2018
8287	2001	2018
8292	1991	2018
8294	1986	2018
8301	2007	2017
8312	2004	2015
8318	2003	2017
8326	1995	2018
8330	2001	2016
8331	2005	2018
8333	2004	2016
8334	2002	2017
8339	2005	2017
8341	1998	2017
8346	1991	2017
8363	2006	2017
8371	1996	2018
8378	1994	2017
8380	1999	2016
8383	1996	2017
8386	2003	2018
8391	1988	2017
8393	2005	2016
8395	2001	2017
8403	2006	2017
8406	1993	2004
8408	1994	2011
8413	2005	2015
8426	2001	2017
8436	1996	2009
8441	1992	2018
8443	1994	2017
8452	2001	2018
8456	2003	2017
8461	1993	2007
8463	1999	2017
8467	1983	2017
8476	2001	2018
8478	2006	2017
8480	1991	2012
8494	2004	2017
8507	1997	2018
8509	2001	2017
8512	2007	2017
8531	2002	2018
8542	2002	2017
8544	2003	2018
8546	2003	2015
8556	1993	2018
8560	1991	2015
8564	2006	2017
8573	2002	2013
8576	2003	2017
8581	2002	2017
8586	1987	1997
8595	1992	2018
8607	2002	2018
8608	2003	2018
8611	1989	2018
8613	2006	2016
8623	2005	2017
8627	2005	2017
8633	1991	2018
8636	2004	2017
8644	2006	2018
8662	2003	2018
8663	2004	2018
8665	2003	2018
8683	2006	2017
8684	2005	2017
8693	1999	2017
8703	2004	2017
8709	2001	2018
8718	2005	2017
8728	2005	2018
8734	2003	2017
8739	2003	2018
8742	2001	2018
8745	2002	2018
8758	2001	2018
8802	2003	2017
8803	1998	2011
8805	1999	2017
8815	1988	2018
8824	2002	2017
8826	2000	2018
8831	2004	2017
8837	1990	2018
8838	2003	2017
8851	2007	2018
8855	1995	2013
8859	2007	2018
8864	1992	2017
8871	1994	2010
8886	1999	2018
8893	2003	2017
8895	2004	2017
8897	2006	2018
8900	2006	2018
8902	2005	2017
8908	2005	2017
8914	2007	2017
8918	2005	2018
8920	2006	2016
8923	1995	2018
8929	2000	2016
8937	2002	2017
8958	2003	2018
8959	2007	2018
8961	2003	2018
8965	1992	2017
8966	2006	2017
8967	2002	2017
8968	2004	2018
8970	2000	2018
8972	1996	2018
8977	1989	2018
8980	2005	2016
8981	2007	2017
8982	2002	2017
8992	2006	2017
8995	2000	2018
9009	1997	2015
9010	2002	2018
9011	1997	2018
9021	2006	2017
9028	1994	2017
9029	2006	2018
9039	2005	2017
9040	2001	2014
9051	2003	2017
9053	2005	2017
9080	2006	2017
9086	1996	2012
9102	1999	2010
9106	1996	2015
9115	2002	2018
9127	2004	2016
9138	2004	2015
9143	2004	2017
9146	1993	2004
9158	2002	2018
9162	2004	2017
9164	2002	2017
9172	1993	2017
9182	2000	2018
9187	1997	2018
9190	2006	2016
9204	1990	2003
9215	2000	2018
9221	2003	2015
9223	1997	2018
9233	2001	2017
9234	2007	2018
9251	2005	2017
9264	1990	2014
9265	2007	2017
9271	2005	2017
9280	2002	2018
9293	1981	2015
9306	2004	2017
9311	2003	2016
9314	1989	2018
9315	2000	2017
9328	2006	2017
9341	2005	2017
9347	2002	2012
9352	1994	2005
9359	2000	2011
9361	1998	2017
9363	1999	2015
9365	2005	2018
9368	2002	2017
9380	1985	2014
9386	2000	2012
9390	2003	2017
9403	2007	2017
9408	2003	2017
9409	2003	2013
9412	1990	2018
9421	2005	2017
9428	2004	2015
9430	2007	2017
9434	2000	2018
9440	2003	2016
9444	1993	2018
9445	2002	2018
9448	1996	2018
9449	2003	2013
9455	2004	2018
9461	1998	2016
9471	1995	2016
9473	2004	2016
9484	2002	2017
9504	2004	2017
9511	1997	2018
9512	1998	2018
9513	1998	2017
9523	2004	2018
9524	2002	2018
9535	2001	2018
9537	1990	2018
9541	2004	2016
9545	2004	2017
9546	1995	2018
9555	2007	2017
9567	1996	2018
9571	2006	2017
9582	2006	2017
9587	1997	2017
9605	2006	2018
9611	1988	2018
9617	1997	2017
9620	2005	2017
9639	1996	2017
9667	2007	2017
9673	1993	2018
9675	2005	2017
9685	1993	2016
9698	2004	2017
